EPTS_CONCEPT_NAME,EPTS_CONCEPT_id,EPTS_CONCEPT_uuid,POC_CONCEPT_NAME,POC_CONCEPT_id,POC_CONCEPT_uuid
NOME CONFIDENTE,1740,e1de46a4-1d5f-11e0-b929-000c29ad1d07,HOF_Other_Info_Provider,8338,c78e621a-31eb-4c6f-9580-2c12538c101c
PESSOA DE REFERENCIA - NUMERO DE TELEFONE,1611,e1dcb3ca-1d5f-11e0-b929-000c29ad1d07,HOF_Other_Info_Contact,8339,a48ecbc9-2682-4347-85b7-e0f3c2d68316
TESTES ORDENADOS,1271,e25b13aa-1d5f-11e0-b929-000c29ad1d07,Type_of_test,7897,88438bbb-4e1b-4883-87c4-d027d6c1ebab
CARGA VIRAL,856,e25ffa50-1d5f-11e0-b929-000c29ad1d07,HOF_LAB_SITUATION_Carga_Viral_Absolute_Retrospective,0,70e5b056-af78-4918-8b3c-02b19f73088f
CD4 %,730,e1d48fba-1d5f-11e0-b929-000c29ad1d07,HOF_LAB_SITUATION_CD4_Percent,0,a4f9f00e-4351-42d5-9267-0ac80a4a7da8
CD4 ABSOLUTO,5497,e24d0bca-1d5f-11e0-b929-000c29ad1d07,HOF_LAB_SITUATION_CD4_value,0,0109dabf-1b3f-4c1b-9ade-cb9d48f4744b
HB.,21,e2619e78-1d5f-11e0-b929-000c29ad1d07,HOF_LAB_SITUATION_HB,0,af6ec6a1-5d6b-40e9-8c2a-50780a6963e4
ALT,654,e25e7964-1d5f-11e0-b929-000c29ad1d07,HOF_LAB_SITUATION_ALT,0,e5d43304-6abb-4cd5-9674-80145d884ce8
AST,653,e25f7580-1d5f-11e0-b929-000c29ad1d07,HOF_LAB_SITUATION_AST,0,a7af3d38-6c86-4533-ab25-9bbe262b548c
GLUCOSE,887,e24d2ca4-1d5f-11e0-b929-000c29ad1d07,HOF_LAB_SITUATION_Glicemia,0,fccbf994-ded4-11e9-8a34-2a2ae2dbcce4
DATA DE INICIO DO TARV,1190,beac4fb9-e330-4022-b75d-ed5f03fbca98,HOF_TARV_PROPHILAXIS_Patient_Date_Of_Tarv,0,b502f95e-940f-11e9-bc42-526af7764f64
REGIME,1088,27edd246-945d-4234-8767-cefc4a14e03a,HOF_TARV_PROPHILAXIS_Tarv_Initial_Regime,0,b502fba2-941f-11e9-bc42-528af7764f64
ESTA GRAVIDA,1982,e254577c-1d5f-11e0-b929-000c29ad1d07,HOF_CLINICAL_SITUATION_pregnancy,0,a030f9a4-8450-40b3-84d2-e7aa18829a3b
LACTAÇÃO,6332,b18dafe0-9b1c-4a6e-acbe-63dbab86ad10,HOF_CLINICAL_SITUATION_Breastfeeding,0,896f4820-dbd2-11e9-8a34-2a2ae2dbcce4
DATA DE INICIO DA PROFILAXIA COM ISONIAZIDA,6128,78726301-dd4f-4cb3-96d6-ff54a44dfe78,HOF_TARV_PROPHILAXIS_Start_Date_INH,0,ee573d19-cf7c-4fcd-adc5-8480c7e7194f
DATA DE FIM DA PROFILAXIA COM ISONIAZIDA,6129,eaf4d73b-6796-42c6-a017-80043d0ed55d,HOF_TARV_PROPHILAXIS_End_Date_INH,0,0050629a-012e-4cfb-b417-7b8019595172
DATA DE INICIO DA PROFILAXIA COM COTRIMOXAZOL,6126,200fd378-962f-433e-8f08-8bcdb0718f47,HOF_TARV_PROPHILAXIS_Start_Date_CTZ,0,134e103e-1fbf-4e9a-91f1-a1c5496e4e35
DATA DE FIM DA PROFILAXIA COM COTRIMOXAZOL,6127,098c23ae-22ef-4e12-8259-3ed9a84555ab,HOF_TARV_PROPHILAXIS_End_Date_CTZ,0,8695d9fa-95b4-446a-96f7-42edf1ade178
Rastreio de TB,6257,ea1851dc-151b-4c1e-b763-5df48082159d,HOF_CLINICAL_SITUATION_TB_Antecedent,0,9c795ff8-db7f-11e9-8a34-2a2ae2dbcce4
DATA DE INICIO DO TRATAMENTO TB,1113,e24fc93c-1d5f-11e0-b929-000c29ad1d07,HOF_CLINICAL_SITUATION_TB_Treatment_Start_Date,0,9c79612e-db7f-11e9-8a34-2a2ae2dbcce4
DATA DE FIM DO TRATAMENTO TB,6120,ff31bb0c-cfe5-4b06-9cc8-e8b8ca677ec9,HOF_CLINICAL_SITUATION_TB_Treatment_End_Date,0,9c79625a-db7f-11e9-8a34-2a2ae2dbcce4
ESTADIO OMS ACTUAL,5356,e24c61c0-1d5f-11e0-b929-000c29ad1d07,HOF_CLINICAL_SITUATION_WHO_Staging,0,1ee08755-f9d1-46ae-b92a-69f52143b763
DATA DE PROXIMA CONSULTA,1410,e24a2bc6-1d5f-11e0-b929-000c29ad1d07,HOF_CLINICAL_SITUATION_Next_Clinical_Visit_Date,0,fccc01be-ded4-11e9-8a34-2a2ae2dbcce4
DATA DO PROXIMO LEVANTAMENTO DE ARV,5096,e2513e84-1d5f-11e0-b929-000c29ad1d07,HOF_CLINICAL_SITUATION_Next_Drug_Pickup_Date,0,fccc02fe-ded4-11e9-8a34-2a2ae2dbcce4
SUBSTITUICAO DE REGIME,1372,e249fd2c-1d5f-11e0-b929-000c29ad1d07,,0,
MUDANCA DE REGIME,1371,e25b58b0-1d5f-11e0-b929-000c29ad1d07,Regime_Change,0,fb3e41a4-db82-11e9-8a34-2a2ae2dbcce4
TRANSFERIDO PARA,1706,e24e2b72-1d5f-11e0-b929-000c29ad1d07,"
",0,"
"
TRANSFERIDO PARA NOME DA UNIDADE SANITARIA,2059,e2569686-1d5f-11e0-b929-000c29ad1d07,"
",0,"
"
ABANDONO,1707,e24e2c58-1d5f-11e0-b929-000c29ad1d07,"
",0,"
"
