EPTS_CONCEPT_NAME,EPTS_CONCEPT_id,EPTS_CONCEPT_uuid,POC_CONCEPT_NAME,POC_CONCEPT_id,POC_CONCEPT_uuid
NOME CONFIDENTE,1740,,HOF_Other_Info_Provider,8338,c78e621a-31eb-4c6f-9580-2c12538c101c
PESSOA DE REFERENCIA - NUMERO DE TELEFONE,1611,,HOF_Other_Info_Contact,8339,a48ecbc9-2682-4347-85b7-e0f3c2d68316
TESTES ORDENADOS,1271,e25b13aa-1d5f-11e0-b929-000c29ad1d07,Type_of_test,7897,88438bbb-4e1b-4883-87c4-d027d6c1ebab
CARGA VIRAL,856,e25ffa50-1d5f-11e0-b929-000c29ad1d07,HOF_LAB_SITUATION_Carga_Viral_Absolute_Retrospective2,0,2d0b1667-5590-43a0-9b97-75d3124c50ad
CD4 %,730,"
",HOF_LAB_SITUATION_CD4_Percent2,0,2af10d4d-8ca3-4446-856f-3b313885560b
CD4 ABSOLUTO,5497,e24d0bca-1d5f-11e0-b929-000c29ad1d07,HOF_LAB_SITUATION_CD4_value2,0,95d48998-ccfd-4ec4-8099-5856bf592a72
HB.,21,e2619e78-1d5f-11e0-b929-000c29ad1d07,HOF_LAB_SITUATION_HB2,0,b687f14b-4440-417c-84c0-f24656e26b1c
ALT,654,e25e7964-1d5f-11e0-b929-000c29ad1d07,HOF_LAB_SITUATION_ALT2,0,f6cfdb4a-68c6-498e-8695-c417db4712f6
AST,653,e25f7580-1d5f-11e0-b929-000c29ad1d07,HOF_LAB_SITUATION_AST2,0,c3c4b3b3-f874-4968-ae19-0cbe754dc65c
GLUCOSE,887,e24d2ca4-1d5f-11e0-b929-000c29ad1d07,HOF_LAB_SITUATION_Glicemia2,0,7fa6c53c-ca40-4f55-98b5-9dce19426d0c
DATA DE INICIO DO TARV,1190,beac4fb9-e330-4022-b75d-ed5f03fbca98,HOF_TARV_PROPHILAXIS_Patient_Date_Of_Tarv,0,b502f95e-940f-11e9-bc42-526af7764f64
REGIME,1088,27edd246-945d-4234-8767-cefc4a14e03a,HOF_TARV_PROPHILAXIS_Tarv_Initial_Regime,0,b502fba2-941f-11e9-bc42-528af7764f64
ESTA GRAVIDA,1982,e254577c-1d5f-11e0-b929-000c29ad1d07,HOF_CLINICAL_SITUATION_pregnancy,0,a030f9a4-8450-40b3-84d2-e7aa18829a3b
