EPTS_CONCEPT_NAME,EPTS_CONCEPT_id,EPTS_CONCEPT_uuid,POC_CONCEPT_NAME,POC_CONCEPT_id,POC_CONCEPT_uuid
UNIDADE DE SAÚDE,1984,e2545be6-1d5f-11e0-b929-000c29ad1d07,,,
APRESENTOU UM CONFIDENTE,1739,e24f5e02-1d5f-11e0-b929-000c29ad1d07,,,
PESSOA DE REFERENCIA – NOME,1441,e24a59de-1d5f-11e0-b929-000c29ad1d07,CONFIDENT_NAME,8396,24b6ed78-3152-459d-b1ac-8cef3d7bf8f9
PESSOA DE REFERÊNCIA – APELIDO,1442,e24a5ace-1d5f-11e0-b929-000c29ad1d07,CONFIDENT_SURNAME,8397,ebe5f674-257a-4bac-98cb-700f67927075
PESSOA DE REFERENCIA - NUMERO DE TELEFONE,1611,e24c564e-1d5f-11e0-b929-000c29ad1d07,CONFIDENT_TELEPHONE1,8400,973118bf-1d10-479c-a782-672601856feb
DATA DE DIAGNOSTICO DO HIV+,6123,9d162641-fdde-4700-a4d6-f1f683e14d54;,,,
TESTES ORDENADOS,1271,e25b13aa-1d5f-11e0-b929-000c29ad1d07,Type_of_test,7897,88438bbb-4e1b-4883-87c4-d027d6c1ebab
TRANSFERIDO DE,1369,e24e2ffa-1d5f-11e0-b929-000c29ad1d07,,,
TRANSFERIDO DE NOME DA UNIDADE SANITARIA,2060,e2569942-1d5f-11e0-b929-000c29ad1d07,,,
GESTÃO DE TARV,1255,e25059f6-1d5f-11e0-b929-000c29ad1d07,Estado do Paciente,7982,f84870a9-4c30-4564-adbe-02d99378e0e1
CARGA VIRAL,856,e25ffa50-1d5f-11e0-b929-000c29ad1d07,Carga Viral,8192,b8a3b82d-28f8-4b3f-a7e3-4a214e1903e7
CD4 ABSOLUTO,5497,e24d0bca-1d5f-11e0-b929-000c29ad1d07,CD4,8193,428012b2-6273-4d4c-89a9-8dc8bdaaecde
HB.,21,e2619e78-1d5f-11e0-b929-000c29ad1d07,HB,8204,07ae22e1-5980-4e8c-b03f-b81a26c2bc37
