EPTS_CONCEPT_NAME,EPTS_CONCEPT_id,EPTS_CONCEPT_uuid,POC_CONCEPT_NAME,POC_CONCEPT_id,POC_CONCEPT_uuid
,,,,,
UNIDADE DE SAÚDE,1984,e2545be6-1d5f-11e0-b929-000c29ad1d07,,,
,,,Ocupação,7893,2daf8d93-0a4d-4214-ba60-5f07ff380ac9
,,,Educação,7958,0dc2908e-65a0-466a-8f23-2cf17c76dc0e
,,,,,
APRESENTOU UM CONFIDENTE,1739,e24f5e02-1d5f-11e0-b929-000c29ad1d07,,,
PESSOA DE REFERENCIA – NOME,1441,e24a59de-1d5f-11e0-b929-000c29ad1d07,CONFIDENT_NAME,8396,24b6ed78-3152-459d-b1ac-8cef3d7bf8f9
PESSOA DE REFERÊNCIA – APELIDO,1442,e24a5ace-1d5f-11e0-b929-000c29ad1d07,CONFIDENT_SURNAME,8397,ebe5f674-257a-4bac-98cb-700f67927075
,,,CONFIDENT_RELATIONSHIP,8398,48f6fa87-c98f-41ad-8a4e-10e166545c6a
PESSOA DE REFERENCIA - NUMERO DE TELEFONE,1611,e24c564e-1d5f-11e0-b929-000c29ad1d07,CONFIDENT_TELEPHONE1,8400,973118bf-1d10-479c-a782-672601856feb
,,,,,
,,,CONFIDENT_DISTRICT,8403,0b2d4785-9740-480b-98e0-4eb9c5a9e8cc
,,,CONFIDENT_LOCALITY,8404,26bcb4de-ec3c-4258-89f6-894d29d94282
,,,CONFIDENT_BLOCK,8405,f8010f4b-772b-4e9f-a029-f66a0741cdb9
,,,CONFIDENT_STREET,8406,f24aaeba-fd56-45ae-9beb-14c91642bb85
,,,CONFIDENT_POR,8407,36c4e150-95c2-46c0-9348-1470f33cf6bf
,,,,,
DATA DE DIAGNOSTICO DO HIV+,6123,9d162641-fdde-4700-a4d6-f1f683e14d54;,,,
,,,,,
TESTES ORDENADOS,1271,e25b13aa-1d5f-11e0-b929-000c29ad1d07,Type_of_test,7897,88438bbb-4e1b-4883-87c4-d027d6c1ebab
,,,,,
,,,,,
TRANSFERIDO DE,1369,e24e2ffa-1d5f-11e0-b929-000c29ad1d07,,,
TRANSFERIDO DE NOME DA UNIDADE SANITARIA,2060,e2569942-1d5f-11e0-b929-000c29ad1d07,,,
GESTÃO DE TARV,1255,e25059f6-1d5f-11e0-b929-000c29ad1d07,Estado do Paciente,7982,f84870a9-4c30-4564-adbe-02d99378e0e1
,,,,,
,,,,,
